0,0,0,0,0,0,3,3,5,46,46,70,152,227,547,580,687,732,826,1116,1454,1622,1759,1931,2051,2222,2315,2493,2671,2908
0,0,0,2,2,6,40,96,156,256,262,266,356,399,519,562,608,720,818,984,1222,1372,1537,1696,1838,2086,2295,2600,2883,3284
0,0,0,0,0,0,0,0,0,2,2,2,2,2,17,25,26,27,48,100,119,175,246,266,291,333,367,401,440,478
0,0,0,0,0,0,0,2,3,5,5,8,13,20,27,30,45,52,69,98,122,160,184,227,255,302,354,393,452,549
0,0,0,0,0,0,1,1,6,12,12,20,26,32,49,76,115,161,247,304,338,407,482,530,578,645,703,736,783,916
0,0,0,0,0,2,3,6,18,31,32,39,65,75,123,146,166,196,269,335,412,480,573,648,727,854,937,1047,1196,1341
0,0,0,0,0,0,2,2,2,2,2,2,7,13,20,29,67,74,110,156,207,246,334,411,438,493,529,631,688,838
0,0,0,0,0,0,0,0,3,3,3,3,3,3,11,11,21,24,32,45,58,80,90,94,98,98,100,135,153,157
0,0,0,0,0,0,0,6,12,13,13,13,20,20,24,28,32,32,39,51,57,67,75,79,95,101,107,121,138,173
0,0,0,0,0,0,1,1,3,7,7,9,18,21,29,33,43,45,61,88,114,168,204,243,312,387,465,570,622,713
0,0,0,0,0,3,3,3,4,5,5,5,110,131,146,152,183,222,273,319,371,496,586,645,736,766,803,896,942,1005
0,0,0,0,0,0,0,2,2,3,3,38,47,92,144,177,273,283,299,338,381,400,412,422,432,474,521,540,564,619
0,0,0,0,0,0,0,0,4,4,4,15,20,20,20,44,103,116,119,140,176,188,199,211,235,245,252,254,267,291
0,0,0,0,0,0,0,1,5,9,9,9,30,35,35,35,65,79,102,170,240,263,271,329,351,360,372,429,462,524
0,0,0,0,0,0,2,4,13,21,21,23,30,33,35,35,43,58,91,137,199,262,295,342,410,455,535,567,684,789
0,0,0,0,0,0,5,7,8,15,15,97,117,141,148,148,176,187,261,290,315,377,424,443,448,455,482,494,511,535
0,0,0,0,0,0,10,13,28,49,49,59,102,144,265,285,358,400,493,632,783,944,1017,1122,1179,1231,1270,1385,1555,1662
0,0,0,0,0,0,6,8,9,12,12,52,69,105,111,122,164,171,226,273,314,365,383,428,497,536,644,801,855,947
0,0,0,0,0,9,24,65,121,184,189,195,262,282,389,486,601,736,924,1160,1357,1625,1873,2165,2454,2858,3244,3633,4031,4702
0,0,0,0,0,0,0,0,0,1,2,2,2,3,21,25,29,38,100,134,146,162,198,290,341,376,423,468,507,595
0,0,0,0,0,0,0,1,8,12,12,16,22,26,33,42,82,114,136,158,187,227,268,271,280,300,306,328,378,422
0,0,0,0,0,0,1,1,4,4,4,7,57,69,82,87,116,154,197,228,303,375,442,474,526,565,590,621,683,739
0,0,0,0,0,0,0,0,0,1,1,1,2,3,18,23,24,29,45,71,88,113,141,182,222,282,333,372,450,590
0,0,0,1,1,1,6,14,23,31,31,40,59,74,109,133,172,204,271,324,421,508,610,676,750,865,952,1041,1177,1396
0,0,0,0,0,7,8,11,23,38,38,38,68,105,255,382,499,828,968,1033,1146,1361,1471,1552,1612,1738,1804,1882,1962,2050
0,0,0,0,0,0,0,0,3,20,20,20,28,35,41,50,75,86,110,124,157,173,195,246,278,315,385,433,536,676
